name,category,stars,contributors,created_at,loc,files,bugs,code_smells,cognitive_complexity,cyclomatic_complexity,critical_violations,major_violations,minor_violations,vulnerabilities,security_hotspots,duplicated_lines,sqale_debt_ratio
dolphin,2,9528,365,2013-07-22,309894,1866,365,21593,35799,50232,8768,7386,5106,1,105,4642,2.2
redis-plus-plus,6,1049,22,2017-12-16,22581,107,9,687,765,2482,28,162,463,0,7,6806,0.6
ccls,2,3299,55,2018-03-31,12507,62,38,1080,3921,3309,287,389,392,0,6,0,2.4
olive,5,6770,52,2017-12-25,82756,823,35,7096,15696,15919,2218,2510,2383,0,1,2458,2.6
seer,5,1360,9,2021-09-01,21394,211,6,2041,3191,3838,698,791,554,0,0,2339,2.3
oatpp,1,6080,47,2018-03-13,31881,402,31,4783,2748,5403,747,718,3249,0,21,1865,5.1
ogre,3,3135,179,2015-11-29,345453,1484,123,33488,39006,41948,16049,7637,9296,0,219,26098,2.9
imnodes,7,1385,18,2018-09-22,4404,11,4,316,530,660,81,115,118,0,0,54,1.8
cppinsights,9,2172,13,2018-04-29,14420,452,9,757,1519,1588,253,74,425,0,0,559,1.0
entt,4,7743,63,2017-03-27,32151,178,16,1011,1486,9999,348,473,157,0,0,3326,0.8
CV-CUDA,2,1090,1,2022-08-23,48373,437,71,3082,3774,9742,739,1322,989,0,58,3252,1.9
libcudacxx,3,2138,29,2020-09-17,463043,6686,13,1663,2901,3135,471,619,570,0,7,196249,0.1
bde,1,1451,72,2012-11-09,77189,235,20,2217,2307,6352,690,400,1065,0,2,37180,0.9
Vita3K,1,2421,85,2018-01-26,109004,802,68,9734,14881,20961,1221,3358,4939,1,59,1620,2.1
PrismLauncher,5,2948,202,2022-10-17,66806,710,16,4270,8581,11822,1264,1285,1625,0,15,1444,1.4
JoltPhysics,10,2640,22,2021-08-12,77319,737,25,4023,7224,11354,618,1081,2324,0,27,3583,1.3
MyTinySTL,3,7973,9,2016-08-05,17626,45,5,1290,1921,3056,177,386,683,0,5,2181,1.9
libdatachannel,3,1028,39,2019-07-26,20599,175,11,1828,4386,4266,458,1027,309,2,18,2783,2.9
cpeditor,1,1297,30,2019-11-12,12095,107,5,876,1837,2112,402,131,345,0,0,0,1.9
Crow,5,1481,94,2018-08-10,28559,64,19,1585,4294,4836,497,591,447,0,16,749,2.0
doctest,7,4547,94,2014-08-05,7661,56,13,369,891,1363,151,158,50,0,11,82,2.0
better-enums,7,1379,17,2015-05-11,1921,28,0,25,64,2282,8,5,12,0,4,0,0.3
CppRobotics,1,1228,2,2019-03-28,3163,25,29,517,357,380,84,389,71,0,7,775,4.4
DearPyGui,1,9624,53,2020-05-28,38950,99,7,3692,7465,8724,763,1431,1466,0,3,11142,1.6
hana,7,1469,24,2014-05-17,59181,1646,48,16248,204,4548,966,713,2752,0,1,1358,2.9
RuntimeCompiledCPlusPlus,1,1964,13,2011-06-24,15796,187,5,2060,1595,2042,661,483,879,0,36,915,3.0
restbed,5,1774,45,2015-06-19,16393,177,0,1237,2970,2057,60,800,375,0,22,6733,2.3
cpprestsdk,6,7207,132,2014-08-21,71759,339,106,4214,5207,9961,1228,1589,1442,0,48,5523,1.7
asmjit,3,3323,38,2014-01-28,96391,172,30,4833,11946,14816,915,2644,1186,0,13,2245,1.6
palanteer,3,1951,7,2021-06-19,31107,66,23,2876,11599,7107,1132,869,816,0,28,472,3.0
easyloggingpp,1,3331,30,2012-09-23,11459,167,5,732,741,1665,404,153,171,0,22,218,8.0
dwarfs,3,1046,6,2020-11-21,33350,109,10,987,2692,3019,240,421,275,0,5,72,0.9
pcsx2,3,7898,263,2013-12-22,223911,791,204,19684,39483,43746,6063,9238,4101,0,97,8129,2.5
Vulkan-Hpp,7,2487,63,2016-06-16,204483,105,4,12155,4741,26220,4855,5209,2077,0,1,16044,2.4
Anime4KCPP,1,1520,6,2020-03-25,19815,83,5,423,932,805,92,215,116,0,0,2059,0.8
Catch2,3,16194,323,2010-11-08,26838,365,7,1127,2427,4571,399,289,400,0,2,471,1.1
solidity,7,19414,368,2015-08-17,144573,1295,37,5415,22952,26640,2037,2083,1077,0,28,3673,0.8
acl,6,1057,10,2017-05-17,42701,149,3,1176,4532,4175,323,554,222,1,66,2522,1.0
polybar,7,12046,142,2016-05-19,23339,242,50,1628,2620,4412,560,683,360,0,17,148,2.3
xlnt,7,1217,43,2014-05-06,36526,204,5,928,4347,5120,290,375,220,0,100,1167,0.8
concurrencpp,1,1277,2,2020-01-07,16149,125,2,331,330,788,159,59,113,0,0,1497,0.8
cpp_redis,3,1036,30,2015-07-10,7709,51,0,825,304,1387,558,126,139,0,0,691,1.6
AntSimulator,1,1990,14,2020-04-28,5776,64,3,373,484,1004,83,251,35,0,3,0,1.8
clipp,5,986,3,2017-11-08,9040,41,2,5681,1108,1976,219,5294,164,0,1,1349,10.8
Cemu,1,4211,61,2022-08-22,232241,828,353,32971,33413,36743,12471,7773,12223,15,268,8704,3.9
JUCE,5,4826,31,2012-03-31,605795,2618,44,24882,32294,44171,9744,5563,9326,13,96,48433,1.2
mio,1,1419,17,2017-09-29,1174,7,0,29,59,174,8,8,3,0,0,0,0.8
PolyMC,4,1704,167,2021-12-17,64232,681,9,4394,8203,10896,1285,1431,1575,0,14,1380,1.5
elements,5,2511,20,2016-03-27,25607,148,23,1673,3741,4198,461,660,510,0,3,451,1.9
indicators,1,2318,19,2019-12-03,3555,33,5,143,457,531,14,57,74,0,0,519,1.2
cppcheck,5,4613,359,2009-03-04,289789,431,274,7233,54430,38739,3137,2275,1681,0,22,72102,1.1
symforce,1,1107,36,2022-01-05,60766,279,2,1046,1041,1538,143,527,330,0,32,26675,0.4
uvw,2,1549,24,2016-06-19,6388,84,0,346,161,1774,69,142,133,0,0,212,1.3
hotspot,1,3056,48,2016-12-20,15989,126,4,714,2398,2911,209,276,211,0,12,343,1.7
yuzu,3,23719,290,2018-01-03,329769,1796,1330,11006,25886,45030,1895,5968,4035,0,16,54002,0.8
Sourcetrail,1,13224,38,2015-12-09,215039,1155,49,10079,31018,28444,3373,2946,3556,0,34,21423,1.4
GuiLite,1,6626,15,2017-09-15,4307,23,1,703,699,783,340,213,146,0,9,200,4.2
nameof,6,1572,8,2018-03-17,1918,5,0,113,151,297,41,46,24,0,0,228,2.6
Vc,4,1280,32,2014-02-25,10903,69,27,1105,959,1492,126,573,420,0,3,314,2.6
FunctionalPlus,7,1760,29,2015-11-23,16484,89,9,1004,707,2143,99,97,799,0,13,236,1.0
cutlass,1,2472,64,2017-11-30,168173,558,0,17,28,47,7,9,1,0,0,98863,0.0
flashlight,1,4714,51,2018-12-11,67284,652,5,2013,1924,8199,318,919,660,0,375,3549,0.8
verilator,1,1485,139,2019-06-13,109394,322,43,7951,22953,31554,2898,2366,2294,0,28,1747,2.0
endless-sky,10,3810,265,2015-03-14,54875,328,23,3260,17976,14718,812,1764,653,0,31,230,2.2
tvision,2,1459,10,2019-04-30,40989,341,17,4454,5217,5892,1980,1279,1171,0,113,0,2.9
lithium,1,1094,12,2019-12-03,12005,139,35,1693,1513,3460,390,763,542,1,29,132,3.2
Fast-DDS,5,1439,104,2014-05-29,563495,1828,55,29704,56652,68785,10498,9708,8273,23,753,202359,1.6
FEX,2,1072,21,2020-03-06,29623,200,86,2377,3647,3366,570,1373,510,0,37,3502,2.6
glm,7,7186,171,2012-09-06,39905,496,45,4567,3647,6344,338,1055,3206,0,1,4546,2.6
klogg,5,1181,25,2016-03-09,21803,171,2,896,3730,3857,262,437,193,0,2,200,1.0
vowpal_wabbit,5,8117,212,2009-07-31,83187,595,29,4787,14140,15622,1145,1697,1736,1,26,9261,1.7
moneymanagerex,3,1265,41,2014-05-23,66565,268,17,7350,12003,12088,2362,2830,2059,3,16,10599,4.3
Open3D,6,8036,150,2016-12-02,180217,1282,66,8372,16851,24689,1979,4280,2021,3,27,17485,1.2
spdlog,7,16860,297,2014-11-01,36084,134,3,539,1149,2305,183,236,105,0,3,486,0.4
fheroes2,5,1920,111,2019-08-30,111038,409,1,2904,23434,27218,821,994,940,0,28,2591,0.9
LibreSprite,2,3067,53,2016-08-31,163404,1423,41,11285,19764,20480,3758,3867,3432,1,64,6029,1.9
nodeeditor,3,2193,31,2016-04-09,7885,113,8,549,559,1172,129,137,288,0,1,1140,1.2
yocto-gl,2,2532,13,2016-04-14,34740,43,15,1665,7753,6923,365,779,408,0,0,5985,1.4
organicmaps,3,4609,248,2020-12-27,378768,2465,148,15937,32458,54764,3383,6161,5693,0,124,7279,1.1
PEGTL,7,1663,33,2014-12-23,22082,417,2,599,910,1891,110,269,199,0,14,1148,0.8
pcl,3,8108,332,2013-02-12,492771,2306,101,16005,53559,31013,4416,8301,2530,0,78,68613,1.3
DataFrame,1,1750,17,2017-10-28,22909,36,0,1062,1460,2662,187,567,278,0,9,3567,1.0
ITK,3,1153,270,2010-07-27,696194,5597,234,32822,60923,84017,5647,16890,10079,0,116,147584,1.4
Sunshine,2,3128,54,2021-12-15,20782,77,14,1580,3347,3422,455,572,540,6,13,1592,2.3
2048,2,2044,23,2018-04-02,2437,38,0,176,196,354,28,81,65,0,1,0,2.3
osrm-backend,7,5337,140,2011-09-22,74215,618,16,2993,7729,9040,547,1182,1155,0,8,2620,1.1
json,6,33580,240,2013-07-04,65999,141,25,2918,12230,10827,496,976,1351,0,6,38748,1.1
robin-hood-hashing,3,1294,17,2013-07-27,6869,108,1,260,517,1189,77,76,90,0,3,44,1.1
Simple-Web-Server,3,2371,28,2014-07-05,3031,15,4,291,783,554,60,138,92,0,11,421,3.5
Play-,1,1723,43,2014-02-23,97814,648,422,17008,7530,11686,10652,4555,2137,0,228,3763,2.8
blend2d,3,1175,7,2014-02-02,80231,292,97,7103,18115,15740,1508,3224,2189,0,19,2664,2.8
dbg-macro,4,2241,11,2019-06-19,1242,5,2,75,85,162,5,13,58,0,0,0,0.9
decaf-emu,3,1204,46,2015-05-18,185604,1488,270,8911,20466,26897,2008,2835,3696,2,47,4373,1.4
anki-3d-engine,5,1035,10,2014-09-12,102595,696,106,5171,9960,15717,1561,1303,2118,0,56,3559,1.3
NumCpp,5,2744,3,2018-02-07,31837,491,3,626,1853,4135,79,115,435,0,132,1133,0.4
cpr,7,5247,108,2015-03-31,13172,107,5,673,679,4860,191,259,217,0,11,1332,1.3
nanoflann,2,1740,48,2014-05-01,3094,19,1,251,308,407,35,102,87,0,14,569,2.2
citra,2,8112,232,2014-05-16,127538,1036,296,7486,14288,19263,1384,3680,2109,9,31,3382,1.4
libtorrent,7,4360,115,2015-06-03,131280,409,47,4854,20568,20829,954,2363,1300,2,526,5622,1.1
DeskGap,1,1800,3,2019-01-28,4785,89,2,201,192,395,77,52,72,0,22,84,1.1
ChaiScript,7,2652,58,2011-01-06,28933,88,11,1587,3835,5489,374,606,559,0,3,719,1.8
FTXUI,7,4148,62,2019-01-27,22432,216,6,864,1689,4482,211,439,217,0,3,1834,0.9
fprime,7,9243,115,2017-06-22,61218,1176,3,2201,1788,2923,627,728,804,0,8,5866,1.1
compute,8,1362,52,2013-03-02,47790,568,81,3099,1088,4106,496,979,1555,0,103,4614,1.4
etl,6,1516,91,2014-10-16,225580,957,117,11028,7463,39529,2853,3679,4447,0,81,134643,1.5
manticoresearch,2,2480,38,2017-06-28,181186,474,147,12689,39256,42025,4786,4134,3784,1,354,3494,2.1
openpose,7,25887,96,2017-04-24,42331,321,5,2030,4621,3523,388,1396,232,0,1,1329,2.1
xray-16,2,2280,100,2014-09-05,639711,5232,336,64256,68011,83523,13216,24318,26523,0,60,44483,2.5
OpenRCT2,6,11398,357,2014-04-01,623211,1144,156,54756,83575,90453,10014,36023,8551,2,69,74090,2.7
xsimd,11,1623,55,2016-02-19,28525,104,13,1417,934,2643,72,611,741,0,10,492,1.3
musescore,3,9139,275,2012-05-26,529464,3102,88,12196,49271,52497,4913,3234,3809,0,1,15243,0.7
ccache,7,1784,134,2010-01-06,50449,172,13,2207,5674,7993,776,673,693,0,20,2646,1.6
filesystem,7,1039,25,2018-09-02,8235,14,0,241,775,1087,61,82,92,0,7,192,0.8
cpp-httplib,3,8781,133,2012-09-22,12397,24,15,600,1446,1644,205,219,181,2,8,1055,1.2
dragonfly,1,16869,46,2021-12-11,58979,226,55,4047,10911,10639,1019,1663,1271,2,46,953,1.6
tinyobjloader,7,2781,89,2012-08-15,15885,31,0,249,977,543,53,116,67,0,8,1949,0.4
wxFormBuilder,5,1632,42,2016-09-01,24127,124,11,2679,6003,4901,748,1087,820,0,3,3402,3.4
Diagon,2,1087,9,2018-01-22,6442,33,3,442,1327,1054,93,204,147,0,3,569,1.8
cudf,10,5308,201,2017-05-07,146979,717,6,1962,2476,4740,386,585,939,0,0,17654,0.3
sqlite_orm,3,1716,34,2016-12-20,37031,275,0,733,2531,2068,48,242,438,0,1,3554,0.5
arrayfire,2,4045,67,2014-10-28,163020,1671,63,13134,13239,33428,2580,6104,4291,0,38,26250,1.9
cpp-ipc,1,1086,3,2018-11-20,7102,82,8,613,765,1328,213,172,201,0,4,88,2.6
rpclib,7,1438,19,2015-11-23,78647,704,7,2158,1531,2198,1548,393,198,0,4,11274,0.9
tinygltf,3,1494,82,2017-05-24,24437,45,0,529,1791,1631,94,202,213,0,0,1308,0.7
Qt-Advanced-Docking-System,1,1078,56,2016-11-05,14682,86,4,923,1842,2392,428,235,260,0,1,375,1.7
desktop,5,2322,222,2017-09-27,219983,437,10,2768,13608,14275,873,838,996,1,52,27125,0.4
kompute,7,1073,17,2020-07-29,5806,73,0,274,246,711,70,129,69,0,2,671,1.8
